address,vesting_total_amounts
cosmos10t4874fv0k8xv4kqvu24f9yjkaackl5xzwfpkv,24398880000
cosmos1qwyzaspng5ru4kpeh0wg88ng40xpxs056k8lf5,1162659940000
cosmos1xmnsjghk24v62hdm6n92ynqljwuaelwx2xuqkq,23470670000
cosmos1swd3j4424f907xd37hgkvp92nsxmw6auapm3f2,225265360000
cosmos1l6qq7xwe5ge0xgryu493w37u9eg06kjc8jqde8,41239410000
cosmos1sy7aa84mxxeckk88vklz0k2ha5659s7hrjajjz,64444880000
cosmos1sc09997nuan0fzlk0mfvshrplhrxm42sa7z396,16044910000
cosmos1rdnddac8wl0u0xs5jmkwy7gmwyysf8e9vrul7s,40178590000
cosmos19achp6f22rscwd493gullzy8ufwd29nqlmga7v,136554200000
cosmos199x3gfrz7dskstpd4kh8cqnr453h3j477jq9c2,928210000
cosmos19k3ex2aduh7ufqr02z5wc2carw02uw63hw446u,19161090000
cosmos147xxj54gscgq4tgcqr3m8walmnnkeaaf2n4lxg,43758880000
cosmos18j7zmrvtzd7vvejm03zrqszqhqtlwl4vamftxc,101281890000
cosmos1qgdjh6zvzzc8gv3fzk0mu9mezh6gan9h7a6v5n,50601170000
cosmos1pfkyk2krq36ykypcm9k3vf20x2zeqstd7fc7q2,64922260000
cosmos1jy34s0fnzw5v4s7xnkz795ewrah3ycydlgdv40,39913390000
cosmos14v8725xxyr8wxfh6sdg599cre4jhk7sdxkt770,23709350000
cosmos12l38xy7j7hedzyznqa85v0eutgd6dwwpz36v6l,9229150000
cosmos1nte5zu24ser0cf5mjkqn2zu5ap5ylsetf3k7t0,27183530000
cosmos1ec4v57s7weuwatd36dgpjh8hj4gnj2cuut9sav,47259590000
cosmos1h9wsnppaqk4ayhtyktp54qsw4qlpghc77avd7u,9321970000
cosmos1cy9mc3srv6m9nhps6sstzgr8ttr87us5m6hgy9,35351860000
cosmos162gqaqm0myarty78dk2nzrppltng2jktmusr2p,54897500000
cosmos1slz3xnujjma6u03gggkzrec8a0u2xc0j2ke7c8,62230410000
cosmos1exhaq20thq9eglheymkqx9upplq9edt4aelhpa,3779180000
cosmos1mpvseku7dzrtvr5m63tsep929zhejl5p9scx2n,53160410000
cosmos18zp54he5f0vjyfgjt2sxxhtl58d9r647eprarj,31824640000
cosmos1f46m3vl7fj3nl25v6ylxu4m94uhq6hznxps92m,11735330000
cosmos18hvxeurh47qudv5qmrg88tewrs53razkzg6rva,508663730000
cosmos1ny3xpdc47quwr0eeg9fdhq9xqxmhk769ur009q,822140000
cosmos1pzunc9mys4lkr02nncdsg40we93qhj7nzahjmr,21667270000
cosmos1uqjsdx8cyl9hpvzr472ek2hmz6qrs57nzth2t2,9878890000
cosmos1zr2nt0ye5t6hzs993awxg3mqxp5s54vwpxz0ar,136474640000
cosmos1eva7vffrv5td6e0casv0g33s4je6h03y5498ra,25990120000
cosmos1uf260ng828elj3hak9aw6ph4mdvfwg0l326s22,11271230000
cosmos1uwu97fck9sajv3wlnu5ae9qw6ppland0hd6rm0,508663730000
cosmos1cwr6hrhtt465k72zqqsejwfqumwf0vsf24cfrv,2121650000
cosmos18xs5jgedlc5uw9h6x38yugssrlfwntdcvq2m7a,35351860000
cosmos1kf5w20q0jm6k0jpm3dppuhh03krxpjj0j5pxuc,9229150000
cosmos1sw5e4zgkxwrpxwqky2fa5s9tgtpm8xmlzslypc,225265360000
cosmos183kl3p9pd9tjum6nlq9mgknvsza6l305da9qrj,35351860000
cosmos1d6f9jctymx5f7s52kwk05ynv69qzc6nmuzju57,503094410000
cosmos1rzqcqrdeh48qdzed9wlpv55x6kjnwm3nw2w2xn,2121650000
cosmos100jcc4u5mkduqcp6amu67ydnzl4tdee6htjypu,12570730000
cosmos1d3tj5rvejfcfjuw6ujurg4rmfzl7n2ru4y7nlx,405233670000
cosmos1ytq2hxyzpmyens24qtpe8mvc75n73m7l7ss7hj,38322170000
cosmos1cjf666vrtx7m5dp3gstykkpeqd79fdazlp5lef,30896410000
cosmos1lsn6avgrmwnqp4a6snd3zgyxcmedrqwsnyay60,10475610000
cosmos1dp2pahzef5tu8e66mmpsazrfqeus6sl0xcg6a7,23470670000
